"","Country.Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","ActiveCases","Serious.Critical","Tot.Cases.1M.pop","Deaths.1M.pop","TotalTests","Tests.1M.pop","Continent"
"212","Mauritania","8","","1","","6","1","","2","0.2","1,032","222","Africa"
"213","Papua New Guinea","8","","","","6","2","","0.9","","2,402","268","Australia/Oceania"
"214","Bhutan","7","","","","5","2","","9","","10,980","14,230","Asia"
"215","British Virgin Islands","6","","1","","3","2","","198","33","","","North America"
"216","Caribbean Netherlands","6","","","","","6","","229","","110","4,195","North America"
"217","St. Barth","6","","","","6","0","","607","","","","North America"
"218","Western Sahara","6","","","","5","1","","10","","","","Africa"
"219","Anguilla","3","","","","3","0","","200","","","","North America"
"220","Comoros","3","","","","","3","","3","","","","Africa"
"221","Saint Pierre Miquelon","1","","","","","1","","173","","","","North America"
"222","China","82,880","+3","4,633","","77,766","481","33","58","3","","","Asia"
"223","Total:","1,319,003","+27,922","76,773","+1,620","232,311","1,009,919","17,295","","","","","North America"
"224","Total:","1,469,911","+22,408","142,143","+1,540","554,865","772,903","16,949","","","","","Europe"
"225","Total:","572,839","+14,037","20,078","+461","305,077","247,684","5,294","","","","","Asia"
"226","Total:","224,274","+12,462","11,268","+428","78,385","134,621","9,938","","","","","South America"
"227","Total:","48,075","+2,695","1,848","+46","16,231","29,996","129","","","","","Africa"
"228","Total:","8,414","+24","115","","7,225","1,074","30","","","","","Australia/Oceania"
"229","Total:","721","","15","","645","61","4","","","","",""
"230","Total:","3,643,237","+79,548","252,240","+4,095","1,194,739","2,196,258","49,639","467.4","32.4","","","All"
